#index Objname model texture size[fx,fy,fz] position[x y z] boxcollider[x y z] colliderpos_offset[x y z]
0 floor cube wood  [50 1 50]  [0 -1 0]  [0 0 0]  [0 -1 0] 
1 wall cube brick  [1 1 1]  [14 0 4]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 5]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 6]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 7]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 8]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 9]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 10]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 11]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 12]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 13]  [0.7 0.7 0.7]  [0 0 0] 
1 wall cube brick  [1 1 1]  [14 0 14]  [0.7 0.7 0.7]  [0 0 0] 
